Finish Position,BIB,NAME,NATIONALITY,Net Finish Time
1,19,DERARA HURISA,ETH,02:08:09
2,2,AYELE ABSHERO,ETH,02:08:20
3,8,BIRHANU TESHOME,ETH,02:08:26
4,14,JACKSON KIPROP,UGA,02:08:41
5,15,ABDI ALI,BHR,02:08:56
6,9,PAUL MAINA,KEN,02:09:01
7,3,ABERA KUMA,ETH,02:09:15
8,18,KEBEDE WAMI,ETH,02:10:04
9,12,MERHAWI KESETE,ERI,02:10:36
10,11,BIRA SEBOKA,ETH,02:10:37
11,7,VINCENT RONO,KEN,02:11:15
12,10,SHUMET AKALNEW,ETH,02:13:39
13,51,SRINU BUGATHA,IND,02:18:44
14,56,SHER SINGH,IND,02:24:00
15,53,DURGA BAHADUR BUDHA,IND,02:24:03
16,70,RAVIPRAKASH,IND,02:24:32
17,27,SYLVESTER KIPTOO,KEN,02:24:53
18,55,RAHUL PAL,IND,02:26:56
19,54,PRADEEP SINGH CHAUDHARY,IND,02:29:27
20,57,MOHIT RATHORE,IND,02:31:16
